temperature,time,stoichiometry,production_rate_(g/hr),yield,priority,round
138,21,0.655,PENDING,PENDING,1.0,PENDING
129,37,0.58,PENDING,PENDING,1.0,PENDING
114,39,0.63,PENDING,PENDING,1.0,PENDING
138,43,0.655,PENDING,PENDING,0.0,PENDING
138,43,0.63,PENDING,PENDING,0.0,PENDING
138,43,0.605,PENDING,PENDING,0.0,PENDING
138,43,0.58,PENDING,PENDING,0.0,PENDING
138,43,0.555,PENDING,PENDING,0.0,PENDING
138,43,0.53,PENDING,PENDING,0.0,PENDING
138,43,0.505,PENDING,PENDING,0.0,PENDING
138,43,0.455,PENDING,PENDING,0.0,PENDING
138,43,0.43,PENDING,PENDING,0.0,PENDING
138,43,0.405,PENDING,PENDING,0.0,PENDING
138,43,0.38,PENDING,PENDING,0.0,PENDING
138,43,0.355,PENDING,PENDING,0.0,PENDING
138,43,0.33,PENDING,PENDING,0.0,PENDING
138,41,0.655,PENDING,PENDING,0.0,PENDING
138,41,0.63,PENDING,PENDING,0.0,PENDING
138,41,0.605,PENDING,PENDING,0.0,PENDING
138,41,0.58,PENDING,PENDING,0.0,PENDING
138,41,0.555,PENDING,PENDING,0.0,PENDING
138,41,0.53,PENDING,PENDING,0.0,PENDING
138,41,0.505,PENDING,PENDING,0.0,PENDING
138,41,0.48,PENDING,PENDING,0.0,PENDING
138,41,0.455,PENDING,PENDING,0.0,PENDING
138,41,0.43,PENDING,PENDING,0.0,PENDING
138,41,0.405,PENDING,PENDING,0.0,PENDING
138,41,0.38,PENDING,PENDING,0.0,PENDING
138,41,0.355,PENDING,PENDING,0.0,PENDING
138,39,0.63,PENDING,PENDING,0.0,PENDING
138,39,0.605,PENDING,PENDING,0.0,PENDING
138,39,0.58,PENDING,PENDING,0.0,PENDING
138,39,0.555,PENDING,PENDING,0.0,PENDING
138,39,0.53,PENDING,PENDING,0.0,PENDING
138,39,0.505,PENDING,PENDING,0.0,PENDING
138,39,0.48,PENDING,PENDING,0.0,PENDING
138,39,0.455,PENDING,PENDING,0.0,PENDING
138,39,0.43,PENDING,PENDING,0.0,PENDING
138,39,0.405,PENDING,PENDING,0.0,PENDING
138,39,0.38,PENDING,PENDING,0.0,PENDING
138,39,0.355,PENDING,PENDING,0.0,PENDING
138,39,0.33,PENDING,PENDING,0.0,PENDING
138,37,0.655,PENDING,PENDING,0.0,PENDING
138,37,0.63,PENDING,PENDING,0.0,PENDING
138,37,0.605,PENDING,PENDING,0.0,PENDING
138,37,0.58,PENDING,PENDING,0.0,PENDING
138,37,0.555,PENDING,PENDING,0.0,PENDING
138,37,0.53,PENDING,PENDING,0.0,PENDING
138,37,0.505,PENDING,PENDING,0.0,PENDING
138,37,0.48,PENDING,PENDING,0.0,PENDING
138,37,0.455,PENDING,PENDING,0.0,PENDING
138,37,0.43,PENDING,PENDING,0.0,PENDING
138,37,0.405,PENDING,PENDING,0.0,PENDING
138,37,0.38,PENDING,PENDING,0.0,PENDING
138,37,0.355,PENDING,PENDING,0.0,PENDING
138,37,0.33,PENDING,PENDING,0.0,PENDING
138,35,0.655,PENDING,PENDING,0.0,PENDING
138,35,0.63,PENDING,PENDING,0.0,PENDING
138,35,0.605,PENDING,PENDING,0.0,PENDING
138,35,0.58,PENDING,PENDING,0.0,PENDING
138,35,0.555,PENDING,PENDING,0.0,PENDING
138,35,0.53,PENDING,PENDING,0.0,PENDING
138,35,0.505,PENDING,PENDING,0.0,PENDING
138,35,0.48,PENDING,PENDING,0.0,PENDING
138,35,0.455,PENDING,PENDING,0.0,PENDING
138,35,0.43,PENDING,PENDING,0.0,PENDING
138,35,0.405,PENDING,PENDING,0.0,PENDING
138,35,0.38,PENDING,PENDING,0.0,PENDING
138,35,0.355,PENDING,PENDING,0.0,PENDING
138,35,0.33,PENDING,PENDING,0.0,PENDING
138,33,0.655,PENDING,PENDING,0.0,PENDING
138,33,0.63,PENDING,PENDING,0.0,PENDING
138,33,0.605,PENDING,PENDING,0.0,PENDING
138,33,0.58,PENDING,PENDING,0.0,PENDING
138,33,0.555,PENDING,PENDING,0.0,PENDING
